input,output
Can you explain presence based on the text?,"iser must notify the Mortgagee of the deficiency of MPR or MPS . iv. Site Conditions (A) Access to Property (1) Definition Adequate Vehicular Access to Property refers to an all -weather road surface over which emergency and typical passenger vehicles can pass at all times. (2) Required Analysis and Reporting The Appraiser must notify the Mortgagee of the deficiency of MPR or MPS if the Property does not have safe pedestrian access and Adequate Vehicular Access from a public street or private street that is protected by a permanent recorded Easement, ownership interest, or is owned and maintained by an HOA. Shared driveways that a re not part of an HOA must also meet these requirements. The Appraiser must note whether there is safe pedestrian access and Adequate Vehicular Access to the site and analyze any effect on value or marketability. The Appraiser must report evidence of a permanent Easement. The Appraiser must ask if a maintenance agreement exists and comment on the condition of the private road or lane. (B) Onsite Hazards and Nuisances (1) Definition Onsite Hazards and Nuisances refer to conditions that may endanger the health and safety of the occupants or the structural integrity or marketability of the Property. (2) Standard The Appraiser must report the presence of all onsite hazards and nuisances so that the Mortgagee can determine eligibility and any corrective work that may be necessary to mitigate potential adverse effects from the special conditions. II. ORIG"
What are the key points mentioned about Mortgages?,"events; and the Mortgagee has received that appraisal no later than 15 Days before the foreclosure sale. On the date of a foreclosure sale, Mortgagees must have a current, valid appraisal that was received no later than 15 Days before the sale. If the Mortgagee is submitting an appraisal -based claim, the Mortgagee must use a valid, unexpired appraisal. If there is not a valid, unexpired appraisal, the Mortgagee must order a new appraisal no later than 15 Days before the end of the six-month perio d following the Mortgagees acquisition of the Property. (2) Appraisals for HECMs with a Case Number Assigned on or after S\eptember 19, 2017 The Mortgagee must have the Proper ty appraised by an FHA Roster Appraiser no later than 30 Days after the Borrower , Borrower s estate, heir, or other party with authority to dispose of the Property requests an appraisal in connection with a pending sale of the Property. If the HECM is not Due and Payable , the appraisal is at the Borrowers expense. If the HECM is Due and Payable, the appraisal is at III. SERVICING AND LOSS MITIGATION B. Title II Insured Housing Programs Reverse Mortgages 2. Default Servicing Handbook 4000.1 1493 Last Revised : 10/31 /2023 the Mortgagees expense, but the Mortgagee may be reimbursed from the proceeds of any sale or through the claim process. The Mortgagee must have the Property appraised before a foreclosure sale. The appraisal must have an effective date that is no more than 30 Days before the sale . If the Mo"
What are the key points mentioned about estate?,"arch or abstract. Exception: In legal descriptions, that portion of land to be deleted or excluded. The term often is used in a different sense to mean an encumbrance on title, excluded from coverage in a title insurance policy. Executor: A person appointed by the probate court to carry out the terms of a will. The term is executrix if that person is a woman. Also see Personal Representative. F Fannie Mae: Federal National Mortgage Association (also FNMA) is a private corporation, federally chartered to provide financial products and services that increase the availability and affordability of housing by purchasing mortgage loans. Fee Simple Estate: The greatest possible estate in land where the title is held completely and without any limitations or conditions. Sometimes designated simply as Fee. Financing Statement: A document filed with the Register of Deeds or Secretary of State to give notice that a creditor (lender) has or may have a security interest in the personal property of the debtor (borrower). Fixed Rate Mortgage: A mortgage on which the same rate of interest is charged for the life of the mortgage. Fixtures: Any item of property so attached to real property that it becomes a part of the real property. Flood Certification: A common term for a Federal Emergency Management Agency (FEMA) Standard Flood Hazard Determination Form (SFHDF)."
What does the document say about Payment?,r Underwriting the Property (04/29/2024) ......................... 616 c. Conditional Commitment Direct Endorsement Statement of Appraised Value (04/29/2024) ................................ ................................ ................................ .................... 616 5. Performing the Financial Assessment of the Borrower ................................ ........................ 617 a. Definition (04/29/2024) ................................ ................................ ................................ .. 617 b. Credit History Review Requirements (04/29/2024) ................................ ....................... 617 c. Property Charge Payment History Review Requirements (04/29/2024) ........................ 627 d. Monthly Expense Analysis (04/29/2024) ................................ ................................ ....... 630 e. Effective Income Analysis (04/29/2024) ................................ ................................ ........ 642 f. Residual Income Analysis (04/29/2024) ................................ ................................ ......... 668 g. Asset Requirements (04/29/2024) ................................ ................................ ................... 673 h. Required Documentation (04/29/2024) ................................ ................................ .......... 680 i. Final HECM Decision (04/29/2024) ................................ ................................ ............... 681 6. Closing ....................
What information is provided about Mortgagee?,"e and date. xxii. Specialized Eligibility Documents The Mortgagee must confirm that the mortgage file contains all required program - specific documents. xxiii. Purchase Contract and Addenda The Mortgagee must confirm that the Sales/Purchase Contract, addenda, and the Amendatory Clause are signed by all Borrower s and sellers. The Amendatory Clause is not required on REO Sales, or 203(k) Mortgage s. The Mortgagee must confirm that Real Estate Certification is signed by Borrower s, sellers, and selling real estate agent or broker if their signature is not contained within the purchase agreement. c. Inspection and Repair Escrow Requirements for Mortgages Pending Closing or Endorsement in Presidentially -Declared Major Disaster Area s (11/07/2023 ) All Properties with pending Mortgages or endorsements in areas under a Presidentially - Declared Major Disaster Area s (PDMDA) designated for individual assistance must have a damage inspection report that identifies and quantifies any dwelling damage. The damage inspection report must be completed by an FHA Roster Appraiser even if the inspection shows no damage to the Property, and the report must be dated after the Incident Period (as defined by FEMA ) or 14 Days from the Incident Period start date, whichever is earlier. If the effective date of the appraisal is on or after the date required above for an inspection, a separate damage inspection report is not necessary. Streamline Refinance s are allowed to proceed to closing and/or"
What information is provided about specific?,"ches, caulking guns, cement trowels, etc. G. Where The Cost Of An Improvement Is Paid Using A Monthly Installment Payment Plan. Where an improvement is paid for on a monthly installment plan (whether paid to the company providing the service, a bank, a credit card company, etc.) only the initial cost of the improvement (excluding any interest, finance charges or late charges) may be used as a claim against the appreciation of a property. H. Receipts/Documentation Of Improvements. In order to support the cost of an improvement, the mortgagor must present receipts or invoices on company letterhead marked paid -in-full for each allowable home improvement. Receipts which are written on paper wit hout a business letterhead, or without specific (or legible) entries as to what service was provided, who provided the service, the date the service was provided, and/or what type of material was purchased, and where appropriate, at what property address t he service was performed, etc., may be subject to further scrutiny and/or rejection by the HUD Field Office. I. Replacements. Items such as roof replacements, heating system replacements (except solar heating systems), and exterior and interior painting are home maintenance. They must not be claimed against the appreciation of a property as improvements. J. Items Not Allowed As Improvements. 1. Draperies, curtain rods, window shades and blinds are never allowed as improvements unless they are approved by Headquarters. 2. Plumbing fixtur"
Can you explain Utilities based on the text?,"state of Alaska must remain winterized at all times. Where earlier or extended winterization is required due to specific micro - climate conditions or other property requirements, the Mortgagee must perform such winterization and include in the Servicing File and the Claim Review File documentation supporting the Mortgagees amended winterization timeline. Where the initial winterization is no longer effective, the Mortgagee must re - winterize the Property and include in the Servicing File and the Claim Review File documentation demonstrating the need to re -winterize. (b) Utilities (i) Standard The Mortgagee must turn all utilities off unless: prohibited by state or local law; required to remain on per HOA or Condominium Association requirements; the Property is an attached unit or a dwelling with shared systems such as a row house, townhouse or Condominium; required to remain on to protect the Property; required to operate equipment such as sump pumps, swimming pools, wells, dehumidifiers, or other equipment or systems required to remain in operation; or where the Mortgagee determines that utility disconnection fees and charges make it cost effective to maintain utility service rather than disconnect the service. The Mortgagee must ensure that active piping and exposed electrical wiring is capped, valved, or otherwise terminated. If utilities remain on, the Mortgagee must note in the Servicing File and the Claim Review File the reasons for maintaining utility service and,"
What are the key points mentioned about minimize?,"ies) sold and its resale price. Include demographic information on B orrowers; the estimated developer fees or percentage of selling price for future transactions; the anticipated number and location of units the nonprofit expects to purchase; a time line for purchasing, rehabilitating, and selling (or placing in operation) Properties the nonprofit intends to purchase from FHA. Provide the number of Days for each phase of the development (actual dates are not necessary) ; and if the nonprofit agency intends to provide a lease -purchase program, the information relative to the manner in which rent is I. DOING BUSINESS WITH FHA B. Other Participants 4. Nonprofits and Governmental Entities Handbook 4000.1 104 Last Revised: 10/31 /2023 collected and applied, and whether repair reserves will be utilized to minimize repair costs after purchase. Copy of the Board Resolution The nonprofit must submit a copy of a board resolution that adopts the complete AHPP . This resolution must be signed and dated by the appropriate persons under applicable state law and as identified in the Articles of Organization and other governing documents. (c) Past Mortgage Performance The nonprofit must submit evidence of any past or current mortgage performance. If applicable, the nonprofit must include performance of FHA - insured Mortgages, including addresses and FHA case numbers; certification of completion for each 203(k) Property, including date sold, and sales price; and the full name and telephone"
What information is provided about courier?,"ee. (k) Recording Fees and Taxes The Mortgagee may charge recording fees on the first and second Mortgages that are customary or required in the area, and recording taxes on the first Mortgage that are required. The second Mortgage is not subject to any state or local recording taxes, or stamp taxes, because the second Mortgage is a Mortgage to the federal government. (l) Tests or Treatments The Mortgagee may charge for tests or treatments required by FHA such as tests of water supplies, soil percolation tests for individual septic systems, or testing for or treating insect infestation. (m)Courier Fees Upon B orrower request, the Mortgagee may charge a courier fee for delivery of a mortgage Payoff to a lien holder and for closing documents to and from the settlement agent. If this arrangement will take place, a written agreement between the B orrower and the Mortgagee must be executed before closing. Online processing and delivery of a mortgage Payoff to a lien holder and for closing documents to and from the settlement agent are the sole responsibility of the Mortgagee and must be paid from the loan origination fee. II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT B. Title II Insured Housing Programs Reverse Mortgages 6. Closing Handbook 4000.1 704 Last Revised: 10/31 /2023 (4) Property Assessed Clean Energy The PACE obligation must be paid off in full at closing. The Borrower may use HECM proceeds to satisfy the PACE obligation. For HECM for Purchase transactions, see the"
What are the key points mentioned about broker?,"dings larger than 20,000 square feet, while others include buildings as small as 5,000 square feet. Those modest differences in the competitive set can cause variations in metrics such as vacancy and absorption reported by each provider. Competitive Set A subset of total inventory that enables one to isolate and compare buildings based on similar characteristics rather than simply by location. For example, a broker preparing to show available space to a tenant may identify five properties to be toured based on location, square footage available, class, asking rent, parking ratio, etc. An investment sales or finance broker may generate a competitive set of buildings according to access to transit, year built, percentage leased, etc., to help estimate the value of an asset to be bought, sold or refinanced. NAIOP Research Foundation | Commercial Real Estate Terms and Conditions 13Concessions To secure a tenant when vacancy is high in a market or submarket, a landlord may need to grant concessions in the lease. Those concessions most often take the form of free rent but may also include lease buyouts, moving allowances and above-market tenant improvement allowances. Construction Starts The total number of buildings that broke ground (commenced construction) over a given period. The starts are typically measured in number of buildings and square feet. Contiguous Block(s) Multiple suites or spaces typically adjacent on the same floor in a building."
What does the document say about Patience?,"amount youre comfortable spending on a home. Y ou want that new house and to keep living your life. Plus: Y oure not out of options yet.#2 Raise Your Price (Within Reason) Increasing your earnest money deposit (EMD) - the sum of money you put down to prove to the seller youre serious (i.e., earnest) about buying the house - is another way to show the seller you have more skin in the game. A standard EMD is typically 1% to 3% of the sales price of the home. Making a counteroffer with a 3% to 4% deposit could be what you need to persuade the seller to side with you.#3 Increase Your Earnest Money Deposit Depending on the sellers timetable, changing your proposed possession date - the date you take over the property - could butter them up, too. If the seller wants to stay in the home for a few days after closing, try offering a later possession date. Y ou could also draw up a rent-back agreement, meaning the seller pays you rent for staying in the home for a set period of time after the closing date.#4 Demonstrate Patience About Taking Possession8 SIMPLE RULES FOR NEGOTIATING YOUR OFFER AND GETTING THAT HOUSE Want to give your counteroffer an even bigger boost?#5 Let Go of a Few Contingencies - With Care HouseLogic.com 408 SIMPLE RULES FOR NEGOTIATING YOUR OFFER AND GETTING THAT HOUSE At a mortgage settlement, home buyers have to pay closing costs for taxes, lenders fees, and title company fees."
What does the document say about variable?,"e note pagare con tasa de interes ajustable pagare de interes variable adjustable rate rider clausula adicional sobre tasa de interes ajustable clausula adicional sobre tasa de interes variable adjuster ajustador adjustment date fecha de ajuste adjustment interval; adjustment period intervalo de ajuste; periodo de ajuste administrative orders ordenes administrativas advance directives voluntades anticipadas; directrices avanzadas adverse action accion adversa administrative rules disposiciones administrativas affidavit declaracion jurada affinity fraud fraude por afinidad affordability analysis; affordability analyzer analisis de capacidad de pago; analizador de capacidad de pagoA acceleration vencimiento anticipado acceleration clause clausula de vencimiento anticipado accountant contador; contable actual cash value valor real de mercado; valor actual en efectivo addendum anexo al contrato anexo additional principal payment pago adicional de capital pago adicional al saldo add-ons adicionales; anadidos adjustable rate tasa de interes ajustable; tarifa ajustable interes variable adjustable rate mortgage hipoteca con tasa de interes ajustable hipoteca de interes variable 3 NAHREP GLOSSARY OF REAL ESTATE INDUSTRY TERMSAPPRAISAL CONTINGENCY affordable asequible affordable housing vivienda a precio asequible vivienda con precio accesible agent (general, should be qualified) agente agreement acuerdo; contrato agreement of sale acuerdo; contrato de compraventa contrato de venta aid"
Can you explain attached based on the text?,"Appraiser and Property Requirements for Title II Forward and Reverse Mortgages 5. Property Acceptability Criteria for Manufactured Housing for Title II Insured Mortgages Handbook 4000.1 857 Last Revised: 10/31 /2023 (B) Standard If the perimeter enclosure is non -load bearing skirting comprised of lightweight material, the entire surface area of the skirting must be permanently attached to backing made of concrete, masonry, treated wood or a product with similar strength and durability. (C) Required Analysis and Reporting If the Manufactured Home foundation does not meet the requirements for Existing Construction , the Appraiser must notify the Mortgagee and report the deficiency in the MPR . d. Running Gear (09/14/2015) i. Definition Running Gear refers to a mechanical system designed to allow the Manufactured Housing unit to be towed over public roads. ii. Standard The towing hitch and Running Gear must be removed. iii. Required Analysis and Reporting The Appraiser must notify the Mortgagee and report deficiency of MPR or MPS if the Running Gear or towing hitch are still attached to the Manufactured Housing unit. e. Perimeter Enclosure (02/16/2021 ) i. Definitions Perimeter Enclosure refers to a continuous wall that is adequately secured to the perimeter of the unit and allows for proper ventilation of the crawl space. Skirting refers to a nonstructural enclosure of a foundation crawl space intended to ensure the crawl space is free from exposure to the elements and free fr"
What are the key points mentioned about switched?,"securing the FHA -insured Mortgage. Additionally, FHA and the Mortgagee must be indicated as the intended users of the appraisal report. (b) Required Documentation The Mortgagee must retain documentation in the case binder substantiating conversion of the Mortgage to FHA. (8) Transferring Existing Appraisal s In cases where a Borrower has switched Mortgagee s, the first Mortgagee must, at the Borrower s request, transfer the appraisal to the second Mortgagee within five business days. The Appraiser is not required to provide the appraisal to the new Mortgagee . The client name on the appraisal does not nee d to reflect the new Mortgagee . If the original Mortgagee has not been reimbursed for the cost of the appraisal, the Mortgagee is not required to transfer the appraisal until it is reimbursed . The second Mortgagee may not request the Appraiser to readdress the appraisal . If the second Mortgagee finds deficiencies in the appraisal, the Mortgagee must order a new appraisal. Where a Mortgagee uses an existing appraisal for a different Borrower , the Mortgagee must enter the new Borrower s information in FHAC prior to being scored by the TOTAL scorecard . The Mortgagee must collect an appr aisal fee from the new Borrower and refund the fee to the original Borrower . If a Case Transfer is involved, the new Mortgagee must enter the Borrower s information in FHAC . The new Mortgagee must collect an appraisal fee from the Borrower , and send the fee to the original Mortgagee ,"
How does the document describe Insurance?,"ms and Products II.A.9 203(k) Consultant Requirements Handbook 4235.1 REV -1, as modified by Mortgagee Letter 1996 - 15 - Chapter 1 General Information - Chapter 6 Closing and Endorsement Mortgagee Letter 2009 -11: HECM for Purchase Program Mortgagee Letter 2007 -06: Existing Property Eligibility Requirements Mortgagee Letter 2015 -02: Principal Limit - Eligible and Ineligible Non-Borrowing HECM Spouses Sources 1. Mortgage Term 2. Mortgage Insurance Premium s 3. Program & Product Specific Requirements 4. Title and/or FHA Lien Position 5. Non-Profit, Government Agency, Living Trust , or Power of Attorney 6. Mortgage, Note, Riders, and Allonges 7. Sales Contract , Addend a, Amendments, and Related Certifications Causes A. Acceptable documentation of eligibility missing, illegible, improperly completed/incomplete, or incorrect form used B. Improper Application of FHA Policy C. Other Mortgage Eligibility Issue F. Evidence of Fraud or Misrepresentation Appendix 8.0 - FHA Defect Taxonomy (09/22/2020) Handbook 4000.1 1796 Last Revised : 10/31 /2023 Defect Area 8 (continued) Mortgage Eligibility (ME) Severity Tiers Remedies Unacceptable 1 Evidence of fraudulent or materially misrepresented information about which the lender knew or should have known . Indemnification - Life-of-Loan 2 FHA is unable to determine mortgage acceptability or compliance with applicable eligibility policies due to absence of required documentation. FHA is able to conclude that mortgage is not in compliance w"
What are the key points mentioned about single?,"AR) - a trade association with more than 1.5 million members - and earn the designation of REALTOR. The NAR has high standards and a strict code of ethics that REALTORS must follow. In return, the NAR gives its members access to continued training, professional designations, insightful market data, and additional services to support their work.Your agent will do most of the heavy lifting in your homebuying process, acting as both a resource for guidance and your representative. CHOOSING A REAL ESTATE AGENT THE UL TIMATE GUIDE FOR FIRST-TIME HOMEBUYERS EVERYTHING YOU NEED TO KNOW BEFORE YOU BUY YOUR FIRST HOMEWHO DOES THE REAL ESTATE AGENT WORK FOR? In general, real estate agents can work for either buyers or sellers, with their role changing with each transaction. In a single transaction, the agent who represents the seller is known as the listing agent. The agent who represents the buyer is known as the buyers agent. Your real estate agent will be working for you, so theyll be a buyers agent. But how do real estate agents get paid? Real estate agents are typically paid a commission for each property sale theyre part of, often 3% of a homes purchase price. However, both the listing agent and the buyers agent - your agent - are paid by the seller. That means you get all the benefits of working with a professional at zero cost."
What information is provided about letter?,"etter, signed by a Corporate Officer , that informs FHA of the merger . The letter must include information that: o provides the FHA Lender IDs for each FHA -approved Mortgagee involved in the merger; o provides the date the merger occurred or will occur ; and o request s the withdrawal of the non -surviving Mortgagees FHA approval in accordance with FHAs voluntary withdrawal procedures ; a copy of the legal document evidencing the merger; if a Supervised Mortgagee , a copy of the letter from the Federal Banking Agency that approved the merger ; and if applicable, a letter describing how the non-servicing Mortgagee will dispose of the FHA -insured Mortgages that it held or serviced that have not been acquired by a surviving FHA -approved Mortgagee . I. DOING BUSINESS WITH FHA A. FHA Lenders and Mortgagees (09/20/2021) 7. Post-approval Changes Handbook 4000.1 64 Last Revised: 10/31 /2023 (2) Two or More FHA -Approved Mortgage es Merge (a) Standard An FHA -approved Mortgagee that is the surviving entity in a merger with another FHA -approved Mortgagee must notify FHA of the merger. The surviving Mortgagee must register each of the non -surviving Mortgagees branch offices that will remain open under the auspices of the surviving Mortgagee and pay the branch office registration fee(s) . (b) Required Documentation An FHA -approved Mortgagee that is the surviving entity in a merger with another FHA -approved Mortgagee must submit a Change Request to FHA containing the following: a"
What information is provided about purchasing?,"and define your top priorities, check out the Home Search Worksheet on the last page of this guide. Some perspective on the home search process1 51% of buyers who used the internet during their home search ultimately found the home they purchased online Buyers typically search for 8 weeks before purchasing a home 88% of buyers use real estate agents during the home search process 91% of buyers say real estate agents are a useful info source 7Lets talk technology Websites and mobile apps are a valuable tool in the home search process. From photos and video tours to home and neighborhood details, they provide a wealth of valuable information to help you zero in on homes that fit your needs. While these technologies play an important role, they dont replace viewing homes in person. There are aspects of homes that you often cant see online-like layout details, design, and craftsmanship to name a few. Be sure to bring your real estate agent with you as he or she can provide expert analysis and may notice things you would otherwise miss. 8Onto the offer You found a home and you love it, love it, love it! Now its time to make an offer. Most likely, your state or local real estate association has the proper contracts for transactions in your area. These contracts enable you to specify an offer price and allow the inclusion of clauses specifying various terms of purchase, such as the closing and possession dates, your deposit amount, and other conditions."
Can you explain conclusions based on the text?,"ent proof of the trend from a credible source based on a thorough analysis of specific market trends and as evidenced by a sale and resale comparison. (b) Declining Market s In a Declining Market , negative Market Condition Adjustment s should be applied if there is sufficient proof of the trend from a credible source based on a thorough analysis of specific market trends and as evidenced by a sale and resale comparison. (3) Required Analysis and Reporting The Appraiser must analyze the broad market area first (neighborhood analysis), then analyze the specific market (direct sales comparison), and then report how the subject relates to its market area. The Appraiser must provide support for conclusions regarding housing trends and overall market conditions as reported in the Neighborhood section of the appraisal report form. The Appraiser must accurately report market conditions and determine when housing trends are increasing, stable , or declining. The Appraiser must provide a summary comment as to the continuance of the current trend or if the trend appears to be changing, and provide support for all conclusions. If the Appraiser bases the adjustment on a published source, the Appraiser must include a copy of which must be included in the addendum. In changing markets with Increasing Market or Declining Market trends, t he Appraiser must include an absorption rate analysis, at least two comparable sales that closed within 90 Days prior to the effective date of the appraisa"
What does the document say about Mortgagee?,", t he Appraiser must note that the Property is ineligible for FHA insurance and notify the Mortgagee . II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT D. Appraiser and Property Requirements for Title II Forward and Reverse Mortgages 3. Acceptable Appraisal Reporting Forms and Protocols (11/07/2023) Handbook 4000.1 818 Last Revised: 10/31 /2023 (4) Proximity to High Pressure Gas Lines The Appraiser must identify if the dwelling or related property improvement is near high -pressure gas or liquid petroleum pipelines or other volatile and explosive products, both aboveground and subsurface. The Appraiser must determine and report the marke tability of the Property based on this analysis. The Appraiser must notify the Mortgagee of the deficiency of MPR or MPS if the Property is not located more than 10 feet from the nearest boundary of the pipeline Easement. (5) Overhead Electric Power Transmission and Local Distribution Line s (a) Definitions Overhead Electric Power Transmission Line s refer to electric lines that supply power from power generation stations to Local Distribution Line s. Local Distribution Line s refer to electric lines that commonly supply power to residential housing developments, similar facilities and individual Properties. (b) Required Analysis and Reporting The Appraiser must notify the Mortgagee of the deficiency of MPR or MPS if the Overhead Electric Power Transmission Line s or the Local Distribution Lines pass directly over any dwelling, Structure or"
Can you explain Refinance based on the text?,"n Amount, not to exceed the Nationwide Loan Limits. An advance of loan proceeds or cash back to the Borrower is not permitted. (ii) Refinance with Advance of Funds to Purchase a Lot The maximum base Combination Loan amount is limited to: the existing debt on the Manufactured Home Loan; plus Financeable Fees and Charges associated with the new Loan; plus the lesser of: o the purchase price of the lot and any development costs; or o the appraised value of the home and lot as determined by a HUD -approved appraisal. (iii) Refinance with Advance of Funds to Purchase a Home To determine the maximum Base Loan Amount for a refinance of a conventional Loan and purchase of a New Manufactured Home , the Lender must follow the same calculation requirements as described for a Refinance of a Title I Manufactured Home Lot Loan with Advance of Funds to Purchase New Home . II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT E. Title I Insured Programs 4. Manufactured Home Loan Program Handbook 4000.1 1144 Last Revised: 10/31 /2023 To determine the maximum Base Loan Amount for a refinance of a conventional Loan and purchase of an Existing Manufactured Home , the Lender must follow the same calculation requirements as described for a Refinance of a Title I Manufactured Home Lot Loan with Advance of Funds to Purchase Existing Home . (d) Placement Certificate A new form HUD -56002 -MH is required for the addition of the manufactured home unit to the lot. (e) Underwriting and Documentation Requirem"
How does the document describe required?,"s prior to the Approved Condominium Project expiration date or no later than six months after the Approved Condominium Project expiration date. If not submitted within the stated time frames, the Condominium Project is not eligible for recertification but must re-apply for Full Review . All required documentation must be submitted as specified in Condominium Project Approval , except the following documents: recorded CC&R s, declaration, and/or master deed, and all amendments; recorded plat map or condominium site plans; signed and adopted bylaws; and articles of incorporation, articles of association, declaration of trust, or other governing documents , if applicable and as required by state law. If amendments have been made to the foregoing documents, they must be submitted. (C) Phasing All required documentation must be submitted as specified in Phasing . b. HUD Review and Approval Process (11/07/2023 ) i. Definition HUD Review and Approval Process (HRAP) refers to the submission of project applications to FHA for approval. ii. Standard HRAP may be used for Full Review , Recertification Review , or Phasing Review . HRAP must be used for newly converted Condominium Projects, MHCPs or any Condominium Projects that have completed a Resolution of Financial Distress Event within the past 36 months. II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT C. Condominium Project Approval 3. Project Approval Submission Handbook 4000.1 804 Last Revised: 10/31 /2023 iii. Eligible Submissio"
What information is provided about reported?,"of the first mortgage payment due under the mortgage; (2) using the same arbitrary anniversary date (assuming an arbitrary date was being used) as the transferring mortgagee or servicer; or (3) selecting a different arbitrary anniversary date. B. Intermittent Recertifications. 1. For Mortgages Insured Before January 5, 1976. Recertifications must be done within 30 days of the effective date of any addition to the adult familys source of income. An additional source of income may be due to, but not necessarily limited to, the following: a. a family member (other than a mortgagor) may have reached the age of 21. If this family member was a wage earner, this would require that his/her wages now be taken into consideration when computing assistance payments; b. an adult who did not work previously may have obtained employment; c. an adult who had a job may have elected to get an additional part -time job; and/or d. a family wage earner may have gotten married. e. an adult wage earner joins the family through marriage. NOTE: Unless the increase was due to a change in source, the mortgagor needs only to recertify at the next anniversary -at which time the increase must be reported to the mortgagee. 2. For Mortgages Insured On Or After January 5, 1976. Recertification is required within 30 days of the date when the total gross income increases by $50 or more per month, regardless of whether the source changes. It is the mortgagors responsibility for providing this information to th"
What information is provided about Effective?,"; certain types of disability and Public Assistance payments; Child Support ; Section 8 Homeownership Vouchers ; military allowances; and other income that is documented as being exempt from federal income taxes. (b) Required Documentation The Mortgagee must document and support the amount of income from nontaxable sources. (c) Calculation of Effective Income Mortgagees may add the amount of Nontaxable Income to Effective Income. However, because the Residual Income analysis will take into account federal taxes, it will be reflected in the expense analysis for Residual Income. Nontaxable Income , therefore, may not be Grossed Up. II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT B. Title II Insured Housing Programs Reverse Mortgages 5. Performing the Financial Assessment of the Borrower Handbook 4000.1 666 Last Revised: 10/31 /2023 The Mortgagee may not make any additional adjustments or allowances based on the number of the Borrowers dependents. (15) Government Assistance Non -Cash Benefits Income (a) Definition Government Assistance Non -Cash Benefits Income refers to non -cash benefits being received by the Borrower through federal, state , or local government programs, e.g., Supplemental Nutrition Assistance Program ( SNAP), energy assistance, etc. (b) Required Documentation In determining whether such benefits may be counted as income , the Mortgagee must: verify that the benefits are being received at the time of loan application, or that an award letter has been issued"
What does the document say about Mortgagee?,"Related Documentation 8 Special Flood Hazard Area 9 Commercial/Non residential 10 Live/Work 11 Litigation 12 Other Required Documents c. Direct Endorsement Lender Review and Approval Process (10/15/2019) i. Definition Direct Endorsement Lender Review and Approval Process (DELRAP) refers to the review of a Condominium Project by a Mortgagee that has been granted DELRAP authority. ii. Standard DELRAP may be used for the Full Review , Recertification Review , or Phasing Review . The Recertification Review or Phasing Review must be completed by the same Mortgagee that previously approved the Condominium Project. DELRAP may not be used for MHCPs, newly converted Condominium Projects or any project that has completed a Resolution of Financial Distress Event within the past 36 months. If the DELRAP review indicates that the Condominium Project is ineligible, the Mortgagee must complete the review and enter the denial decision and data into FHAC. If the Mortgagee starts a review for a Condominium Project, the Mortgagee must complete review. A Mortgagee with DELRAP authority may submit a Condominium Project for approval under HRAP . iii. Submission Process FHAC is the system used to record, list and track all data for Condominium Projects that have been processed. FHAC is used for data entry, processing and reporting. II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT C. Condominium Project Approval 3. Project Approval Submission Handbook 4000.1 806 Last Revised: 10/31 /2023 Mortgagees"
What information is provided about closing?,"you prepare and present an offer. He/she will also negotiate the terms and potential counteroffers. Once everything is agreed upon, youll deposit your earnest money, arrange for an inspection and appraisal, secure financing, order home insurance, home warranty and more. Your real estate agent will guide you through the process between offer and closing to keep you on track. Words You Should Know APPRAISAL A written estimate of a propertys current value. CLOSING COSTS Fees associated with buying a house that your lender charges and/or you rack up from various third parties. CONTINGENT A status in which a house has accepted an offer but relies on meeting certain criteria, such as passing a home inspection or appraisal. CONVENTIONAL MORTGAGE A mortgage loan not insured by the government or guaranteed by the Veterans Administration. It is sub - ject to conditions established by the lending institu - tion and State statutes. COMMISSION A percentage of the sale that is paid to the real estate professional. In most situations, commissions are paid by the seller of the property. DOWN PAYMENT The amount of your homes purchase price you pay upfront. FHA MORTGAGE A mortgage that is insured by the Federal Housing Administration (FHA). FHA loans are designed to make housing more affordable. FORECLOSURE A property seized by the mortgage lender due to the homeowner failing to make full payments on their mortgage."
What does the document say about Credit?,"VICING AND LOSS MITIGATION C. Title I Insured Programs 2. Title I Manufactured Home Loan Program Handbook 4000.1 1548 Last Revised : 10/31 /2023 Lenders must comply with all antidiscrimination laws, rules, and nondiscrimination and equal opportunity statutes, regulations, contract provisions, and other requirements applicable to servicing performing FHA -insured Loans and FHA -insured Loans in Defaul t, including full compliance with the applicable requirements of: Fair Housing Act, 42 U.S.C. 3601 -3619 ; the Fair Credit Reporting Act (FCRA), 15 U.S.C. 1681 -1681 x; and the Equal Credit Opportunity Act (ECOA), 15 U.S.C. 1691 -1691f . The L ender must make all determinations with respect to the adequacy of the Borrowers income in a uniform manner without regard to race, color, religion, sex (including sexual orientation or gender identity) , age, national origin, familial status, disability, marital status, receipt of public assistance , because the applicant has in good faith exercised any right under the Consumer Credit Protection Act , or location of the Property. b. Loan Servicing Requirements (05/09/2022 ) The Lender must have adequate facilities for contacting the Borrower in the event of Default and must otherwise exercise diligence in collecting the amount due. The Lender must have an organized means of identifying, on a monthly basis, the payment status of Delinquent Loans to enable collection personnel to initiate and follow -up on collection activities, and must doc"
